month,week,weekofyear,group_no,agegroup,state,value
2011-09,34,2021-34,1,18-29,vaccinated,132
2011-09,34,2021-34,2,30-49,vaccinated,153
2011-09,34,2021-34,3,50-64,vaccinated,122
2011-09,34,2021-34,4,65-79,vaccinated,113
2011-09,34,2021-34,5,80+,vaccinated,130
2011-10,35,2021-35,1,18-29,vaccinated,131
2011-10,35,2021-35,2,30-49,vaccinated,141
2011-10,35,2021-35,3,50-64,vaccinated,115
2011-10,35,2021-35,4,65-79,vaccinated,109
2011-10,35,2021-35,5,80+,vaccinated,121
2011-11,36,2021-36,1,18-29,vaccinated,126
2011-11,36,2021-36,2,30-49,vaccinated,135
2011-11,36,2021-36,3,50-64,vaccinated,111
2011-11,36,2021-36,4,65-79,vaccinated,105
2011-11,36,2021-36,5,80+,vaccinated,120
2011-12,37,2021-37,1,18-29,vaccinated,111
2011-12,37,2021-37,2,30-49,vaccinated,126
2011-12,37,2021-37,3,50-64,vaccinated,105
2011-12,37,2021-37,4,65-79,vaccinated,104
2011-12,37,2021-37,5,80+,vaccinated,116
2012-01,38,2021-38,1,18-29,vaccinated,86
2012-01,38,2021-38,2,30-49,vaccinated,112
2012-01,38,2021-38,3,50-64,vaccinated,93
2012-01,38,2021-38,4,65-79,vaccinated,91
2012-01,38,2021-38,5,80+,vaccinated,105
2012-02,39,2021-39,1,18-29,vaccinated,80
2012-02,39,2021-39,2,30-49,vaccinated,108
2012-02,39,2021-39,3,50-64,vaccinated,91
2012-02,39,2021-39,4,65-79,vaccinated,90
2012-02,39,2021-39,5,80+,vaccinated,101
2010-01,14,2021-14,1,18-29,unvaccinated,283
2010-01,14,2021-14,2,30-49,unvaccinated,276
2010-01,14,2021-14,3,50-64,unvaccinated,251
2010-01,14,2021-14,4,65-79,unvaccinated,219
2010-01,14,2021-14,5,80+,unvaccinated,153
2010-02,15,2021-15,1,18-29,unvaccinated,285
2010-02,15,2021-15,2,30-49,unvaccinated,284
2010-02,15,2021-15,3,50-64,unvaccinated,259
2010-02,15,2021-15,4,65-79,unvaccinated,241
2010-02,15,2021-15,5,80+,unvaccinated,152
2010-03,16,2021-16,1,18-29,unvaccinated,227
2010-03,16,2021-16,2,30-49,unvaccinated,243
2010-03,16,2021-16,3,50-64,unvaccinated,221
2010-03,16,2021-16,4,65-79,unvaccinated,216
2010-03,16,2021-16,5,80+,unvaccinated,142
2010-04,17,2021-17,1,18-29,unvaccinated,212
2010-04,17,2021-17,2,30-49,unvaccinated,219
2010-04,17,2021-17,3,50-64,unvaccinated,192
2010-04,17,2021-17,4,65-79,unvaccinated,193
2010-04,17,2021-17,5,80+,unvaccinated,127
2010-05,18,2021-18,1,18-29,unvaccinated,172
2010-05,18,2021-18,2,30-49,unvaccinated,185
2010-05,18,2021-18,3,50-64,unvaccinated,167
2010-05,18,2021-18,4,65-79,unvaccinated,172
2010-05,18,2021-18,5,80+,unvaccinated,113
2010-06,19,2021-19,1,18-29,unvaccinated,145
2010-06,19,2021-19,2,30-49,unvaccinated,160
2010-06,19,2021-19,3,50-64,unvaccinated,149
2010-06,19,2021-19,4,65-79,unvaccinated,161
2010-06,19,2021-19,5,80+,unvaccinated,120
2010-07,20,2021-20,1,18-29,unvaccinated,111
2010-07,20,2021-20,2,30-49,unvaccinated,124
2010-07,20,2021-20,3,50-64,unvaccinated,113
2010-07,20,2021-20,4,65-79,unvaccinated,127
2010-07,20,2021-20,5,80+,unvaccinated,86
2010-08,21,2021-21,1,18-29,unvaccinated,82
2010-08,21,2021-21,2,30-49,unvaccinated,95
2010-08,21,2021-21,3,50-64,unvaccinated,88
2010-08,21,2021-21,4,65-79,unvaccinated,104
2010-08,21,2021-21,5,80+,unvaccinated,66
2010-09,22,2021-22,1,18-29,unvaccinated,66
2010-09,22,2021-22,2,30-49,unvaccinated,78
2010-09,22,2021-22,3,50-64,unvaccinated,73
2010-09,22,2021-22,4,65-79,unvaccinated,84
2010-09,22,2021-22,5,80+,unvaccinated,56
2010-10,23,2021-23,1,18-29,unvaccinated,60
2010-10,23,2021-23,2,30-49,unvaccinated,69
2010-10,23,2021-23,3,50-64,unvaccinated,64
2010-10,23,2021-23,4,65-79,unvaccinated,77
2010-10,23,2021-23,5,80+,unvaccinated,48
2010-11,24,2021-24,1,18-29,unvaccinated,63
2010-11,24,2021-24,2,30-49,unvaccinated,69
2010-11,24,2021-24,3,50-64,unvaccinated,65
2010-11,24,2021-24,4,65-79,unvaccinated,78
2010-11,24,2021-24,5,80+,unvaccinated,54
2010-12,25,2021-25,1,18-29,unvaccinated,67
2010-12,25,2021-25,2,30-49,unvaccinated,74
2010-12,25,2021-25,3,50-64,unvaccinated,67
2010-12,25,2021-25,4,65-79,unvaccinated,79
2010-12,25,2021-25,5,80+,unvaccinated,48
2011-01,26,2021-26,1,18-29,unvaccinated,92
2011-01,26,2021-26,2,30-49,unvaccinated,102
2011-01,26,2021-26,3,50-64,unvaccinated,87
2011-01,26,2021-26,4,65-79,unvaccinated,101
2011-01,26,2021-26,5,80+,unvaccinated,66
2011-02,27,2021-27,1,18-29,unvaccinated,142
2011-02,27,2021-27,2,30-49,unvaccinated,152
2011-02,27,2021-27,3,50-64,unvaccinated,109
2011-02,27,2021-27,4,65-79,unvaccinated,144
2011-02,27,2021-27,5,80+,unvaccinated,83
2011-03,28,2021-28,1,18-29,unvaccinated,238
2011-03,28,2021-28,2,30-49,unvaccinated,250
2011-03,28,2021-28,3,50-64,unvaccinated,210
2011-03,28,2021-28,4,65-79,unvaccinated,228
2011-03,28,2021-28,5,80+,unvaccinated,132
2011-04,29,2021-29,1,18-29,unvaccinated,371
2011-04,29,2021-29,2,30-49,unvaccinated,408
2011-04,29,2021-29,3,50-64,unvaccinated,343
2011-04,29,2021-29,4,65-79,unvaccinated,367
2011-04,29,2021-29,5,80+,unvaccinated,203
2011-05,30,2021-30,1,18-29,unvaccinated,551
2011-05,30,2021-30,2,30-49,unvaccinated,596
2011-05,30,2021-30,3,50-64,unvaccinated,504
2011-05,30,2021-30,4,65-79,unvaccinated,550
2011-05,30,2021-30,5,80+,unvaccinated,301
2011-06,31,2021-31,1,18-29,unvaccinated,659
2011-06,31,2021-31,2,30-49,unvaccinated,734
2011-06,31,2021-31,3,50-64,unvaccinated,648
2011-06,31,2021-31,4,65-79,unvaccinated,713
2011-06,31,2021-31,5,80+,unvaccinated,383
2011-07,32,2021-32,1,18-29,unvaccinated,716
2011-07,32,2021-32,2,30-49,unvaccinated,832
2011-07,32,2021-32,3,50-64,unvaccinated,750
2011-07,32,2021-32,4,65-79,unvaccinated,845
2011-07,32,2021-32,5,80+,unvaccinated,451
2011-08,33,2021-33,1,18-29,unvaccinated,726
2011-08,33,2021-33,2,30-49,unvaccinated,874
2011-08,33,2021-33,3,50-64,unvaccinated,784
2011-08,33,2021-33,4,65-79,unvaccinated,912
2011-08,33,2021-33,5,80+,unvaccinated,473
2011-09,34,2021-34,1,18-29,unvaccinated,740
2011-09,34,2021-34,2,30-49,unvaccinated,908
2011-09,34,2021-34,3,50-64,unvaccinated,797
2011-09,34,2021-34,4,65-79,unvaccinated,941
2011-09,34,2021-34,5,80+,unvaccinated,469
2011-10,35,2021-35,1,18-29,unvaccinated,688
2011-10,35,2021-35,2,30-49,unvaccinated,824
2011-10,35,2021-35,3,50-64,unvaccinated,723
2011-10,35,2021-35,4,65-79,unvaccinated,881
2011-10,35,2021-35,5,80+,unvaccinated,426
2011-11,36,2021-36,1,18-29,unvaccinated,611
2011-11,36,2021-36,2,30-49,unvaccinated,760
2011-11,36,2021-36,3,50-64,unvaccinated,673
2011-11,36,2021-36,4,65-79,unvaccinated,804
2011-11,36,2021-36,5,80+,unvaccinated,411
2011-12,37,2021-37,1,18-29,unvaccinated,536
2011-12,37,2021-37,2,30-49,unvaccinated,663
2011-12,37,2021-37,3,50-64,unvaccinated,600
2011-12,37,2021-37,4,65-79,unvaccinated,739
2011-12,37,2021-37,5,80+,unvaccinated,361
2012-01,38,2021-38,1,18-29,unvaccinated,425
2012-01,38,2021-38,2,30-49,unvaccinated,545
2012-01,38,2021-38,3,50-64,unvaccinated,486
2012-01,38,2021-38,4,65-79,unvaccinated,622
2012-01,38,2021-38,5,80+,unvaccinated,305
2012-02,39,2021-39,1,18-29,unvaccinated,362
2012-02,39,2021-39,2,30-49,unvaccinated,475
2012-02,39,2021-39,3,50-64,unvaccinated,435
2012-02,39,2021-39,4,65-79,unvaccinated,589
2012-02,39,2021-39,5,80+,unvaccinated,276
