month,week,weekofyear,bidding_no,group_no,agegroup,vehicle_class,state,premium,value
2010-09,22,2021-22,1,1,18-29,Category A,vaccinated,33089,5
2010-09,22,2021-22,2,2,30-49,Category A,vaccinated,30001,6
2010-09,22,2021-22,3,3,50-64,Category A,vaccinated,33089,5
2010-09,22,2021-22,4,4,65-79,Category A,vaccinated,30001,5
2010-09,22,2021-22,5,5,80+,Category A,vaccinated,33089,8
2010-10,23,2021-23,1,1,18-29,Category A,vaccinated,33132,5
2010-10,23,2021-23,2,2,30-49,Category A,vaccinated,32415,6
2010-10,23,2021-23,3,3,50-64,Category A,vaccinated,33132,5
2010-10,23,2021-23,4,4,65-79,Category A,vaccinated,32415,5
2010-10,23,2021-23,5,5,80+,Category A,vaccinated,33132,8
2010-11,24,2021-24,1,1,18-29,Category A,vaccinated,34001,5
2010-11,24,2021-24,2,2,30-49,Category A,vaccinated,39000,6
2010-11,24,2021-24,3,3,50-64,Category A,vaccinated,34001,5
2010-11,24,2021-24,4,4,65-79,Category A,vaccinated,39000,5
2010-11,24,2021-24,5,5,80+,Category A,vaccinated,34001,9
2010-12,25,2021-25,1,1,18-29,Category A,vaccinated,47604,7
2010-12,25,2021-25,2,2,30-49,Category A,vaccinated,46129,8
2010-12,25,2021-25,3,3,50-64,Category A,vaccinated,47604,6
2010-12,25,2021-25,4,4,65-79,Category A,vaccinated,46129,7
2010-12,25,2021-25,5,5,80+,Category A,vaccinated,47604,9
2011-01,26,2021-26,1,1,18-29,Category A,vaccinated,38889,9
2011-01,26,2021-26,2,2,30-49,Category A,vaccinated,40123,13
2011-01,26,2021-26,3,3,50-64,Category A,vaccinated,38889,9
2011-01,26,2021-26,4,4,65-79,Category A,vaccinated,40123,9
2011-01,26,2021-26,5,5,80+,Category A,vaccinated,38889,12
2011-02,27,2021-27,1,1,18-29,Category A,vaccinated,37124,17
2011-02,27,2021-27,2,2,30-49,Category A,vaccinated,42999,20
2011-02,27,2021-27,3,3,50-64,Category A,vaccinated,37124,15
2011-02,27,2021-27,4,4,65-79,Category A,vaccinated,42999,13
2011-02,27,2021-27,5,5,80+,Category A,vaccinated,37124,17
2011-03,28,2021-28,1,1,18-29,Category A,vaccinated,42600,30
2011-03,28,2021-28,2,2,30-49,Category A,vaccinated,43813,36
2011-03,28,2021-28,3,3,50-64,Category A,vaccinated,42600,27
2011-03,28,2021-28,4,4,65-79,Category A,vaccinated,43813,24
2011-03,28,2021-28,5,5,80+,Category A,vaccinated,42600,30
2011-04,29,2021-29,1,1,18-29,Category A,vaccinated,43212,52
2011-04,29,2021-29,2,2,30-49,Category A,vaccinated,44000,62
2011-04,29,2021-29,3,3,50-64,Category A,vaccinated,43212,48
2011-04,29,2021-29,4,4,65-79,Category A,vaccinated,44000,44
2011-04,29,2021-29,5,5,80+,Category A,vaccinated,43212,52
2011-05,30,2021-30,1,1,18-29,Category A,vaccinated,44790,87
2011-05,30,2021-30,2,2,30-49,Category A,vaccinated,46989,93
2011-05,30,2021-30,3,3,50-64,Category A,vaccinated,44790,73
2011-05,30,2021-30,4,4,65-79,Category A,vaccinated,46989,69
2011-05,30,2021-30,5,5,80+,Category A,vaccinated,44790,80
2011-06,31,2021-31,1,1,18-29,Category A,vaccinated,53390,108
2011-06,31,2021-31,2,2,30-49,Category A,vaccinated,50244,118
2011-06,31,2021-31,3,3,50-64,Category A,vaccinated,53390,96
2011-06,31,2021-31,4,4,65-79,Category A,vaccinated,50244,90
2011-06,31,2021-31,5,5,80+,Category A,vaccinated,53390,104
2011-07,32,2021-32,1,1,18-29,Category A,vaccinated,55989,111
2011-07,32,2021-32,2,2,30-49,Category A,vaccinated,56002,134
2011-07,32,2021-32,3,3,50-64,Category A,vaccinated,55989,107
2011-07,32,2021-32,4,4,65-79,Category A,vaccinated,56002,103
2011-07,32,2021-32,5,5,80+,Category A,vaccinated,55989,120
2011-08,33,2021-33,1,1,18-29,Category A,vaccinated,48801,118
2011-08,33,2021-33,2,2,30-49,Category A,vaccinated,49301,145
2011-08,33,2021-33,3,3,50-64,Category A,vaccinated,48801,117
2011-08,33,2021-33,4,4,65-79,Category A,vaccinated,49301,111
2011-08,33,2021-33,5,5,80+,Category A,vaccinated,48801,129
2011-09,34,2021-34,1,1,18-29,Category A,vaccinated,51000,132
2011-09,34,2021-34,2,2,30-49,Category A,vaccinated,48006,153
2011-09,34,2021-34,3,3,50-64,Category A,vaccinated,51000,122
2011-09,34,2021-34,4,4,65-79,Category A,vaccinated,48006,113
2011-09,34,2021-34,5,5,80+,Category A,vaccinated,51000,130
2011-10,35,2021-35,1,1,18-29,Category A,vaccinated,50289,131
2011-10,35,2021-35,2,2,30-49,Category A,vaccinated,56112,141
2011-10,35,2021-35,3,3,50-64,Category A,vaccinated,50289,115
2011-10,35,2021-35,4,4,65-79,Category A,vaccinated,56112,109
2011-10,35,2021-35,5,5,80+,Category A,vaccinated,50289,121
2011-11,36,2021-36,1,1,18-29,Category A,vaccinated,55997,126
2011-11,36,2021-36,2,2,30-49,Category A,vaccinated,54887,135
2011-11,36,2021-36,3,3,50-64,Category A,vaccinated,55997,111
2011-11,36,2021-36,4,4,65-79,Category A,vaccinated,54887,105
2011-11,36,2021-36,5,5,80+,Category A,vaccinated,55997,120
2011-12,37,2021-37,1,1,18-29,Category A,vaccinated,52392,111
2011-12,37,2021-37,2,2,30-49,Category A,vaccinated,50001,126
2011-12,37,2021-37,3,3,50-64,Category A,vaccinated,52392,105
2011-12,37,2021-37,4,4,65-79,Category A,vaccinated,50001,104
2011-12,37,2021-37,5,5,80+,Category A,vaccinated,52392,116
2012-01,38,2021-38,1,1,18-29,Category A,vaccinated,46889,86
2012-01,38,2021-38,2,2,30-49,Category A,vaccinated,48112,112
2012-01,38,2021-38,3,3,50-64,Category A,vaccinated,46889,93
2012-01,38,2021-38,4,4,65-79,Category A,vaccinated,48112,91
2012-01,38,2021-38,5,5,80+,Category A,vaccinated,46889,105
2012-02,39,2021-39,1,1,18-29,Category A,vaccinated,52809,80
2012-02,39,2021-39,2,2,30-49,Category A,vaccinated,57009,108
2012-02,39,2021-39,3,3,50-64,Category A,vaccinated,52809,91
2012-02,39,2021-39,4,4,65-79,Category A,vaccinated,57009,90
2012-02,39,2021-39,5,5,80+,Category A,vaccinated,52809,101
2010-01,14,2021-14,1,1,18-29,Category B,unvaccinated,19190,283
2010-01,14,2021-14,2,2,30-49,Category B,unvaccinated,22400,276
2010-01,14,2021-14,3,3,50-64,Category B,unvaccinated,19190,251
2010-01,14,2021-14,4,4,65-79,Category B,unvaccinated,22400,219
2010-01,14,2021-14,5,5,80+,Category B,unvaccinated,19190,153
2010-02,15,2021-15,1,1,18-29,Category B,unvaccinated,23180,285
2010-02,15,2021-15,2,2,30-49,Category B,unvaccinated,23889,284
2010-02,15,2021-15,3,3,50-64,Category B,unvaccinated,23180,259
2010-02,15,2021-15,4,4,65-79,Category B,unvaccinated,23889,241
2010-02,15,2021-15,5,5,80+,Category B,unvaccinated,23180,152
2010-03,16,2021-16,1,1,18-29,Category B,unvaccinated,26389,227
2010-03,16,2021-16,2,2,30-49,Category B,unvaccinated,36089,243
2010-03,16,2021-16,3,3,50-64,Category B,unvaccinated,26389,221
2010-03,16,2021-16,4,4,65-79,Category B,unvaccinated,36089,216
2010-03,16,2021-16,5,5,80+,Category B,unvaccinated,26389,142
2010-04,17,2021-17,1,1,18-29,Category B,unvaccinated,45501,212
2010-04,17,2021-17,2,2,30-49,Category B,unvaccinated,40001,219
2010-04,17,2021-17,3,3,50-64,Category B,unvaccinated,45501,192
2010-04,17,2021-17,4,4,65-79,Category B,unvaccinated,40001,193
2010-04,17,2021-17,5,5,80+,Category B,unvaccinated,45501,127
2010-05,18,2021-18,1,1,18-29,Category B,unvaccinated,38000,172
2010-05,18,2021-18,2,2,30-49,Category B,unvaccinated,34600,185
2010-05,18,2021-18,3,3,50-64,Category B,unvaccinated,38000,167
2010-05,18,2021-18,4,4,65-79,Category B,unvaccinated,34600,172
2010-05,18,2021-18,5,5,80+,Category B,unvaccinated,38000,113
2010-06,19,2021-19,1,1,18-29,Category B,unvaccinated,35909,145
2010-06,19,2021-19,2,2,30-49,Category B,unvaccinated,39911,160
2010-06,19,2021-19,3,3,50-64,Category B,unvaccinated,35909,149
2010-06,19,2021-19,4,4,65-79,Category B,unvaccinated,39911,161
2010-06,19,2021-19,5,5,80+,Category B,unvaccinated,35909,120
2010-07,20,2021-20,1,1,18-29,Category B,unvaccinated,35909,111
2010-07,20,2021-20,2,2,30-49,Category B,unvaccinated,42889,124
2010-07,20,2021-20,3,3,50-64,Category B,unvaccinated,35909,113
2010-07,20,2021-20,4,4,65-79,Category B,unvaccinated,42889,127
2010-07,20,2021-20,5,5,80+,Category B,unvaccinated,35909,86
2010-08,21,2021-21,1,1,18-29,Category B,unvaccinated,43334,82
2010-08,21,2021-21,2,2,30-49,Category B,unvaccinated,42810,95
2010-08,21,2021-21,3,3,50-64,Category B,unvaccinated,43334,88
2010-08,21,2021-21,4,4,65-79,Category B,unvaccinated,42810,104
2010-08,21,2021-21,5,5,80+,Category B,unvaccinated,43334,66
2010-09,22,2021-22,1,1,18-29,Category B,unvaccinated,44129,66
2010-09,22,2021-22,2,2,30-49,Category B,unvaccinated,42501,78
2010-09,22,2021-22,3,3,50-64,Category B,unvaccinated,44129,73
2010-09,22,2021-22,4,4,65-79,Category B,unvaccinated,42501,84
2010-09,22,2021-22,5,5,80+,Category B,unvaccinated,44129,56
2010-10,23,2021-23,1,1,18-29,Category B,unvaccinated,42801,60
2010-10,23,2021-23,2,2,30-49,Category B,unvaccinated,44600,69
2010-10,23,2021-23,3,3,50-64,Category B,unvaccinated,42801,64
2010-10,23,2021-23,4,4,65-79,Category B,unvaccinated,44600,77
2010-10,23,2021-23,5,5,80+,Category B,unvaccinated,42801,48
2010-11,24,2021-24,1,1,18-29,Category B,unvaccinated,45501,63
2010-11,24,2021-24,2,2,30-49,Category B,unvaccinated,47890,69
2010-11,24,2021-24,3,3,50-64,Category B,unvaccinated,45501,65
2010-11,24,2021-24,4,4,65-79,Category B,unvaccinated,47890,78
2010-11,24,2021-24,5,5,80+,Category B,unvaccinated,45501,54
2010-12,25,2021-25,1,1,18-29,Category B,unvaccinated,62502,67
2010-12,25,2021-25,2,2,30-49,Category B,unvaccinated,72001,74
2010-12,25,2021-25,3,3,50-64,Category B,unvaccinated,62502,67
2010-12,25,2021-25,4,4,65-79,Category B,unvaccinated,72001,79
2010-12,25,2021-25,5,5,80+,Category B,unvaccinated,62502,48
2011-01,26,2021-26,1,1,18-29,Category B,unvaccinated,69000,92
2011-01,26,2021-26,2,2,30-49,Category B,unvaccinated,58910,102
2011-01,26,2021-26,3,3,50-64,Category B,unvaccinated,69000,87
2011-01,26,2021-26,4,4,65-79,Category B,unvaccinated,58910,101
2011-01,26,2021-26,5,5,80+,Category B,unvaccinated,69000,66
2011-02,27,2021-27,1,1,18-29,Category B,unvaccinated,53400,142
2011-02,27,2021-27,2,2,30-49,Category B,unvaccinated,62000,152
2011-02,27,2021-27,3,3,50-64,Category B,unvaccinated,53400,109
2011-02,27,2021-27,4,4,65-79,Category B,unvaccinated,62000,144
2011-02,27,2021-27,5,5,80+,Category B,unvaccinated,53400,83
2011-03,28,2021-28,1,1,18-29,Category B,unvaccinated,61894,238
2011-03,28,2021-28,2,2,30-49,Category B,unvaccinated,57002,250
2011-03,28,2021-28,3,3,50-64,Category B,unvaccinated,61894,210
2011-03,28,2021-28,4,4,65-79,Category B,unvaccinated,57002,228
2011-03,28,2021-28,5,5,80+,Category B,unvaccinated,61894,132
2011-04,29,2021-29,1,1,18-29,Category B,unvaccinated,55001,371
2011-04,29,2021-29,2,2,30-49,Category B,unvaccinated,56801,408
2011-04,29,2021-29,3,3,50-64,Category B,unvaccinated,55001,343
2011-04,29,2021-29,4,4,65-79,Category B,unvaccinated,56801,367
2011-04,29,2021-29,5,5,80+,Category B,unvaccinated,55001,203
2011-05,30,2021-30,1,1,18-29,Category B,unvaccinated,56011,551
2011-05,30,2021-30,2,2,30-49,Category B,unvaccinated,56300,596
2011-05,30,2021-30,3,3,50-64,Category B,unvaccinated,56011,504
2011-05,30,2021-30,4,4,65-79,Category B,unvaccinated,56300,550
2011-05,30,2021-30,5,5,80+,Category B,unvaccinated,56011,301
2011-06,31,2021-31,1,1,18-29,Category B,unvaccinated,63000,659
2011-06,31,2021-31,2,2,30-49,Category B,unvaccinated,67700,734
2011-06,31,2021-31,3,3,50-64,Category B,unvaccinated,63000,648
2011-06,31,2021-31,4,4,65-79,Category B,unvaccinated,67700,713
2011-06,31,2021-31,5,5,80+,Category B,unvaccinated,63000,383
2011-07,32,2021-32,1,1,18-29,Category B,unvaccinated,68501,716
2011-07,32,2021-32,2,2,30-49,Category B,unvaccinated,72501,832
2011-07,32,2021-32,3,3,50-64,Category B,unvaccinated,68501,750
2011-07,32,2021-32,4,4,65-79,Category B,unvaccinated,72501,845
2011-07,32,2021-32,5,5,80+,Category B,unvaccinated,68501,451
2011-08,33,2021-33,1,1,18-29,Category B,unvaccinated,70890,726
2011-08,33,2021-33,2,2,30-49,Category B,unvaccinated,65521,874
2011-08,33,2021-33,3,3,50-64,Category B,unvaccinated,70890,784
2011-08,33,2021-33,4,4,65-79,Category B,unvaccinated,65521,912
2011-08,33,2021-33,5,5,80+,Category B,unvaccinated,70890,473
2011-09,34,2021-34,1,1,18-29,Category B,unvaccinated,63002,740
2011-09,34,2021-34,2,2,30-49,Category B,unvaccinated,64889,908
2011-09,34,2021-34,3,3,50-64,Category B,unvaccinated,63002,797
2011-09,34,2021-34,4,4,65-79,Category B,unvaccinated,64889,941
2011-09,34,2021-34,5,5,80+,Category B,unvaccinated,63002,469
2011-10,35,2021-35,1,1,18-29,Category B,unvaccinated,63600,688
2011-10,35,2021-35,2,2,30-49,Category B,unvaccinated,75889,824
2011-10,35,2021-35,3,3,50-64,Category B,unvaccinated,63600,723
2011-10,35,2021-35,4,4,65-79,Category B,unvaccinated,75889,881
2011-10,35,2021-35,5,5,80+,Category B,unvaccinated,63600,426
2011-11,36,2021-36,1,1,18-29,Category B,unvaccinated,77000,611
2011-11,36,2021-36,2,2,30-49,Category B,unvaccinated,77340,760
2011-11,36,2021-36,3,3,50-64,Category B,unvaccinated,77000,673
2011-11,36,2021-36,4,4,65-79,Category B,unvaccinated,77340,804
2011-11,36,2021-36,5,5,80+,Category B,unvaccinated,77000,411
2011-12,37,2021-37,1,1,18-29,Category B,unvaccinated,72350,536
2011-12,37,2021-37,2,2,30-49,Category B,unvaccinated,70003,663
2011-12,37,2021-37,3,3,50-64,Category B,unvaccinated,72350,600
2011-12,37,2021-37,4,4,65-79,Category B,unvaccinated,70003,739
2011-12,37,2021-37,5,5,80+,Category B,unvaccinated,72350,361
2012-01,38,2021-38,1,1,18-29,Category B,unvaccinated,65801,425
2012-01,38,2021-38,2,2,30-49,Category B,unvaccinated,67889,545
2012-01,38,2021-38,3,3,50-64,Category B,unvaccinated,65801,486
2012-01,38,2021-38,4,4,65-79,Category B,unvaccinated,67889,622
2012-01,38,2021-38,5,5,80+,Category B,unvaccinated,65801,305
2012-02,39,2021-39,1,1,18-29,Category B,unvaccinated,73890,362
2012-02,39,2021-39,2,2,30-49,Category B,unvaccinated,78189,475
2012-02,39,2021-39,3,3,50-64,Category B,unvaccinated,73890,435
2012-02,39,2021-39,4,4,65-79,Category B,unvaccinated,78189,589
2012-02,39,2021-39,5,5,80+,Category B,unvaccinated,73890,276
